NCT00799214,175.1656
NCT04329715,163.26404
NCT01775501,162.92578
NCT01624155,156.9115
NCT02700776,153.11049
NCT04701034,151.77388
NCT02099006,150.91205
NCT01599975,149.85355
NCT00182078,149.8067
NCT01311102,149.76901
NCT01853748,149.66481
NCT04614142,149.35135
NCT02546193,148.61487
NCT03422809,147.74803
NCT01891149,145.637
NCT02088866,144.10828
NCT00330993,144.04036
NCT02069366,143.8145
NCT03477240,142.89738
NCT03529955,142.02849
NCT00498719,141.80084
NCT03008005,138.67107
NCT00433680,138.23126
NCT01109849,137.71722
NCT01813825,137.33842
NCT02201095,137.29716
NCT00682994,137.17203
NCT03906214,137.11037
NCT00428402,136.93878
NCT04690881,136.42622
NCT04233632,135.56657
NCT00046436,135.44838
NCT03212079,135.41853
NCT01893047,135.18059
NCT01043913,135.08965
NCT00571051,134.7822
NCT01309919,134.70181
NCT02588885,134.4375
NCT00793611,134.30559
NCT00879190,134.24254
NCT00367627,133.78807
NCT01723943,133.33633
NCT02414529,133.32399
NCT02047136,132.73047
NCT00501280,132.23921
NCT03651310,131.84291
NCT00427778,131.64186
NCT04559620,131.41728
NCT00857051,131.33942
NCT03264612,131.11931
NCT02185456,131.04826
NCT03738254,130.97884
NCT04423055,130.44191
NCT03379961,130.04236
NCT03395756,129.82886
NCT00878826,129.59564
NCT03336203,129.44699
NCT00086359,129.25371
NCT02647671,129.21176
NCT03389568,129.09943
NCT04568005,128.79994
NCT04826614,128.61931
NCT02411734,128.36366
NCT01907334,128.18187
NCT02982213,127.60338
NCT02598531,126.943085
NCT00376441,126.9126
NCT02753920,126.35598
NCT01803334,126.25579
NCT01766856,126.1307
NCT04798248,126.128525
NCT00351208,125.712204
NCT03243188,125.234726
NCT01781507,125.03519
NCT01254851,124.759514
NCT02526459,124.66568
NCT01775917,124.63511
NCT03750773,124.483826
NCT02109952,124.40776
NCT03665779,124.361465
NCT04537390,124.317154
NCT03717051,124.29686
NCT03922490,124.2855
NCT00953420,124.24109
NCT01541657,124.0191
NCT02897622,123.996155
NCT00667498,123.59138
NCT01790048,123.23099
NCT03109808,123.03743
NCT02795741,122.970535
NCT04124783,122.970535
NCT00572858,122.750694
NCT02586428,122.660706
NCT02492347,122.632996
NCT01158768,122.46236
NCT02852265,122.250404
NCT01566929,122.15462
NCT01509950,122.110535
NCT00177840,121.475204
NCT00504010,121.453896
NCT01910805,121.32475
NCT04731961,121.311066
NCT02429349,121.18366
NCT03980717,120.692345
NCT01604031,120.465706
NCT01859507,120.30369
NCT00194610,120.21486
NCT02400034,120.19446
NCT01979471,120.06119
NCT04700059,119.80183
NCT02293213,119.27563
NCT00228033,118.62628
NCT03704649,118.06165
NCT03478163,117.65196
NCT00252603,117.593155
NCT02075320,117.3685
NCT00176696,117.36437
NCT02190695,117.127335
NCT00881660,117.07186
NCT01453114,116.95636
